Valve Type,FCC Model ,Trim Type,Flow Char,Flow Dir,Unbal. / Bal.,Rating,Valve Size,Seat Bore ,Travel,Co-efficients,10,20,30,40,50,60,70,80,90,100,P_ID,P_ID2,
butterfly,20,do,mod_equal,down,N/A,600,4,4,90,Xt,0.455,0.499,0.416,0.395,0.41,0.363,0.292,0.235,0.21,0.21,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#4#90#4,
butterfly,20,do,mod_equal,down,N/A,600,4,4,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#4#90#4,
butterfly,20,do,mod_equal,down,N/A,600,6,6,90,Cv,32,93,174,273,401,539,738,812,838,838,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#6#90#6,
butterfly,20,do,mod_equal,down,N/A,600,6,6,90,FL,0.78,0.81,0.79,0.80,0.74,0.68,0.59,0.58,0.57,0.57,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#6#90#6,
butterfly,20,do,mod_equal,down,N/A,600,6,6,90,Xt,0.42,0.43,0.43,0.37,0.36,0.30,0.28,0.21,0.21,0.21,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#6#90#6,
butterfly,20,do,mod_equal,down,N/A,600,6,6,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.70,0.70,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#6#90#6,
butterfly,20,do,mod_equal,down,N/A,600,8,8,90,Cv,77,180,301,472,687,940,1305,1469,1519,1519,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#8#90#8,
butterfly,20,do,mod_equal,down,N/A,600,8,8,90,FL,0.80,0.83,0.83,0.80,0.74,0.66,0.58,0.50,0.48,0.48,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#8#90#8,
butterfly,20,do,mod_equal,down,N/A,600,8,8,90,Xt,0.405,0.454,0.542,0.451,0.346,0.269,0.239,0.206,0.173,0.173,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#8#90#8,
butterfly,20,do,mod_equal,down,N/A,600,8,8,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.70,0.70,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#8#90#8,
butterfly,20,do,mod_equal,down,N/A,600,10,10,90,Cv,104,259,444,695,1009,1342,1769,1967,2011,2011,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#10#90#10,
butterfly,20,do,mod_equal,down,N/A,600,10,10,90,FL,0.8,0.83,0.83,0.8,0.74,0.66,0.58,0.5,0.48,0.48,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#10#90#10,
butterfly,20,do,mod_equal,down,N/A,600,10,10,90,Xt,0.505,0.714,0.672,0.557,0.465,0.339,0.243,0.187,0.155,0.155,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#10#90#10,
butterfly,20,do,mod_equal,down,N/A,600,10,10,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#10#90#10,
butterfly,20,do,mod_equal,down,N/A,600,12,12,90,Cv,172,391,660,1025,1505,2095,2790,3230,3419,3419,butterfly#do#mod_equal#down#600,butterfly#do#mod_equal#down#600#12#90#12,
